threshold,accuracy,precision,recall,f1_score
0.1,0.845,0.7965616045845272,0.9266666666666666,0.8567026194144838
0.2,0.85,0.8365384615384616,0.87,0.8529411764705882
0.3,0.8483333333333334,0.8666666666666667,0.8233333333333334,0.8444444444444444
0.4,0.8333333333333334,0.8891050583657587,0.7616666666666667,0.8204667863554758
0.5,0.8116666666666666,0.9030172413793104,0.6983333333333334,0.7875939849624061
0.6,0.795,0.9317073170731708,0.6366666666666667,0.7564356435643564
0.7,0.7625,0.9387186629526463,0.5616666666666666,0.7028154327424401
0.8,0.7066666666666667,0.9397163120567376,0.44166666666666665,0.6009070294784581
0.9,0.6375,0.9608938547486033,0.2866666666666667,0.441591784338896
